time,founder,unselected,contact_FDC,FDC_selected,contact_TC,TC_Selected_by_TC,recycled,apoptosis,affinity,std_affinity,CC_IDs,CB,CC,Pr,Apoptotic
62.000000,755.000000,49.000000,0.000000,0.000000,0.000000,1.000000,0.000000,618.000000,1.928694354125609E-05,0.0004091628592010605,Prueba,755,50,Pr,618
63.000000,765.000000,61.000000,0.000000,0.000000,0.000000,1.000000,0.000000,643.000000,1.907249375756645E-05,0.0004027004856460219,Prueba,765,62,Pr,643
64.000000,767.000000,53.000000,0.000000,0.000000,0.000000,1.000000,0.000000,667.000000,2.000452766989374E-05,0.0004019896914839083,Prueba,767,54,Pr,667
65.000000,781.000000,54.000000,0.000000,0.000000,0.000000,1.000000,0.000000,680.000000,2.123857133644198E-05,0.00040211631118441,Prueba,781,55,Pr,680
66.000000,776.000000,60.000000,0.000000,0.000000,0.000000,1.000000,0.000000,682.000000,2.155154725223234E-05,0.0004019592430212341,Prueba,776,61,Pr,682
67.000000,781.000000,75.000000,0.000000,0.000000,0.000000,1.000000,0.000000,687.000000,2.494590605599781E-05,0.0004085659424204174,Prueba,781,76,Pr,687
68.000000,795.000000,70.000000,0.000000,1.000000,0.000000,0.000000,0.000000,717.000000,2.935578631602081E-05,0.0004182772503292252,Prueba,795,71,Pr,717
69.000000,772.000000,95.000000,0.000000,2.000000,1.000000,0.000000,0.000000,743.000000,2.947310011868076E-05,0.0004145732191366608,Prueba,772,98,Pr,743
70.000000,759.000000,89.000000,0.000000,2.000000,0.000000,1.000000,0.000000,767.000000,2.882139229721589E-05,0.000412375746923291,Prueba,759,92,Pr,767
71.000000,753.000000,75.000000,0.000000,1.000000,1.000000,2.000000,0.000000,803.000000,2.902365309821295E-05,0.0004104158964861775,Prueba,753,79,Pr,803
72.000000,752.000000,70.000000,0.000000,0.000000,0.000000,4.000000,0.000000,807.000000,3.065543454368832E-05,0.0004137886233977824,Prueba,752,74,Pr,807
73.000000,739.000000,67.000000,0.000000,0.000000,0.000000,4.000000,0.000000,824.000000,3.05589610393758E-05,0.0004136592246811016,Prueba,739,71,Pr,824
74.000000,749.000000,78.000000,0.000000,0.000000,0.000000,3.000000,1.000000,803.000000,3.199589973305959E-05,0.0004186073746014676,Prueba,750,81,Pr,803
75.000000,720.000000,85.000000,0.000000,0.000000,0.000000,3.000000,2.000000,834.000000,3.841447763865368E-05,0.0004954713117282224,Prueba,722,88,Pr,834
